architecture,family,trial,latency_ms,batch_size,input_shape
global_avg_mlp_tiny,mlp,1,0.027083,1,1x3x224x224
global_avg_mlp_tiny,mlp,2,0.026791,1,1x3x224x224
global_avg_mlp_tiny,mlp,3,0.02625,1,1x3x224x224
global_avg_mlp_tiny,mlp,4,0.026334,1,1x3x224x224
global_avg_mlp_tiny,mlp,5,0.026709,1,1x3x224x224
global_avg_mlp_tiny,mlp,6,0.026958,1,1x3x224x224
global_avg_mlp_tiny,mlp,7,0.026875,1,1x3x224x224
global_avg_mlp_tiny,mlp,8,0.02675,1,1x3x224x224
global_avg_mlp_tiny,mlp,9,0.025959,1,1x3x224x224
global_avg_mlp_tiny,mlp,10,0.02675,1,1x3x224x224
global_avg_mlp_tiny,mlp,11,0.027042,1,1x3x224x224
global_avg_mlp_tiny,mlp,12,0.027125,1,1x3x224x224
global_avg_mlp_tiny,mlp,13,0.0265,1,1x3x224x224
global_avg_mlp_tiny,mlp,14,0.02625,1,1x3x224x224
global_avg_mlp_tiny,mlp,15,0.0265,1,1x3x224x224
global_avg_mlp_tiny,mlp,16,0.02675,1,1x3x224x224
global_avg_mlp_tiny,mlp,17,0.026209,1,1x3x224x224
global_avg_mlp_tiny,mlp,18,0.0265,1,1x3x224x224
global_avg_mlp_tiny,mlp,19,0.027042,1,1x3x224x224
global_avg_mlp_tiny,mlp,20,0.02625,1,1x3x224x224
global_avg_mlp_tiny,mlp,21,0.025708,1,1x3x224x224
global_avg_mlp_tiny,mlp,22,0.025375,1,1x3x224x224
global_avg_mlp_tiny,mlp,23,0.02525,1,1x3x224x224
global_avg_mlp_tiny,mlp,24,0.026,1,1x3x224x224
global_avg_mlp_tiny,mlp,25,0.026833,1,1x3x224x224
global_avg_mlp_tiny,mlp,26,0.026625,1,1x3x224x224
global_avg_mlp_tiny,mlp,27,0.026167,1,1x3x224x224
global_avg_mlp_tiny,mlp,28,0.025958,1,1x3x224x224
global_avg_mlp_tiny,mlp,29,0.026333,1,1x3x224x224
global_avg_mlp_tiny,mlp,30,0.025584,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,1,0.78875,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,2,0.774208,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,3,0.773167,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,4,0.786833,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,5,0.789208,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,6,1.12725,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,7,0.858958,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,8,0.813125,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,9,0.78125,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,10,0.757916,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,11,0.777459,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,12,0.789,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,13,0.796708,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,14,0.788583,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,15,0.810917,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,16,0.812125,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,17,0.77575,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,18,0.91675,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,19,0.82775,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,20,0.800625,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,21,0.793083,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,22,0.792167,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,23,0.85425,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,24,0.796208,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,25,0.814875,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,26,0.798167,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,27,0.791583,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,28,0.790834,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,29,0.808458,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,30,0.819042,1,1x3x224x224
cnn_small_4conv,plain_cnn,1,1.309458,1,1x3x224x224
cnn_small_4conv,plain_cnn,2,1.313,1,1x3x224x224
cnn_small_4conv,plain_cnn,3,1.31875,1,1x3x224x224
cnn_small_4conv,plain_cnn,4,1.28975,1,1x3x224x224
cnn_small_4conv,plain_cnn,5,1.263708,1,1x3x224x224
cnn_small_4conv,plain_cnn,6,1.282083,1,1x3x224x224
cnn_small_4conv,plain_cnn,7,1.297208,1,1x3x224x224
cnn_small_4conv,plain_cnn,8,1.285791,1,1x3x224x224
cnn_small_4conv,plain_cnn,9,1.287667,1,1x3x224x224
cnn_small_4conv,plain_cnn,10,1.303416,1,1x3x224x224
cnn_small_4conv,plain_cnn,11,1.426083,1,1x3x224x224
cnn_small_4conv,plain_cnn,12,1.388625,1,1x3x224x224
cnn_small_4conv,plain_cnn,13,1.3175,1,1x3x224x224
cnn_small_4conv,plain_cnn,14,1.27725,1,1x3x224x224
cnn_small_4conv,plain_cnn,15,1.261708,1,1x3x224x224
cnn_small_4conv,plain_cnn,16,1.282083,1,1x3x224x224
cnn_small_4conv,plain_cnn,17,1.315291,1,1x3x224x224
cnn_small_4conv,plain_cnn,18,1.29575,1,1x3x224x224
cnn_small_4conv,plain_cnn,19,1.37275,1,1x3x224x224
cnn_small_4conv,plain_cnn,20,1.323417,1,1x3x224x224
cnn_small_4conv,plain_cnn,21,1.368708,1,1x3x224x224
cnn_small_4conv,plain_cnn,22,1.296917,1,1x3x224x224
cnn_small_4conv,plain_cnn,23,1.289417,1,1x3x224x224
cnn_small_4conv,plain_cnn,24,1.29125,1,1x3x224x224
cnn_small_4conv,plain_cnn,25,1.287125,1,1x3x224x224
cnn_small_4conv,plain_cnn,26,1.339167,1,1x3x224x224
cnn_small_4conv,plain_cnn,27,1.337334,1,1x3x224x224
cnn_small_4conv,plain_cnn,28,1.317625,1,1x3x224x224
cnn_small_4conv,plain_cnn,29,1.336541,1,1x3x224x224
cnn_small_4conv,plain_cnn,30,1.29675,1,1x3x224x224
cnn_medium_6conv,plain_cnn,1,2.472542,1,1x3x224x224
cnn_medium_6conv,plain_cnn,2,2.431,1,1x3x224x224
cnn_medium_6conv,plain_cnn,3,2.399666,1,1x3x224x224
cnn_medium_6conv,plain_cnn,4,2.363541,1,1x3x224x224
cnn_medium_6conv,plain_cnn,5,2.36925,1,1x3x224x224
cnn_medium_6conv,plain_cnn,6,2.412959,1,1x3x224x224
cnn_medium_6conv,plain_cnn,7,2.394291,1,1x3x224x224
cnn_medium_6conv,plain_cnn,8,2.466541,1,1x3x224x224
cnn_medium_6conv,plain_cnn,9,2.5325,1,1x3x224x224
cnn_medium_6conv,plain_cnn,10,2.384417,1,1x3x224x224
cnn_medium_6conv,plain_cnn,11,2.332666,1,1x3x224x224
cnn_medium_6conv,plain_cnn,12,2.379458,1,1x3x224x224
cnn_medium_6conv,plain_cnn,13,2.416208,1,1x3x224x224
cnn_medium_6conv,plain_cnn,14,2.375458,1,1x3x224x224
cnn_medium_6conv,plain_cnn,15,2.43675,1,1x3x224x224
cnn_medium_6conv,plain_cnn,16,2.419542,1,1x3x224x224
cnn_medium_6conv,plain_cnn,17,2.415542,1,1x3x224x224
cnn_medium_6conv,plain_cnn,18,2.356042,1,1x3x224x224
cnn_medium_6conv,plain_cnn,19,2.41575,1,1x3x224x224
cnn_medium_6conv,plain_cnn,20,2.412667,1,1x3x224x224
cnn_medium_6conv,plain_cnn,21,2.366625,1,1x3x224x224
cnn_medium_6conv,plain_cnn,22,2.361458,1,1x3x224x224
cnn_medium_6conv,plain_cnn,23,2.466041,1,1x3x224x224
cnn_medium_6conv,plain_cnn,24,2.408084,1,1x3x224x224
cnn_medium_6conv,plain_cnn,25,2.349042,1,1x3x224x224
cnn_medium_6conv,plain_cnn,26,2.51175,1,1x3x224x224
cnn_medium_6conv,plain_cnn,27,2.489459,1,1x3x224x224
cnn_medium_6conv,plain_cnn,28,2.584417,1,1x3x224x224
cnn_medium_6conv,plain_cnn,29,2.48975,1,1x3x224x224
cnn_medium_6conv,plain_cnn,30,2.623167,1,1x3x224x224
depthwise_small,depthwise_cnn,1,1.54175,1,1x3x224x224
depthwise_small,depthwise_cnn,2,1.492709,1,1x3x224x224
depthwise_small,depthwise_cnn,3,1.426708,1,1x3x224x224
depthwise_small,depthwise_cnn,4,1.476917,1,1x3x224x224
depthwise_small,depthwise_cnn,5,1.488083,1,1x3x224x224
depthwise_small,depthwise_cnn,6,1.415583,1,1x3x224x224
depthwise_small,depthwise_cnn,7,1.412958,1,1x3x224x224
depthwise_small,depthwise_cnn,8,1.420083,1,1x3x224x224
depthwise_small,depthwise_cnn,9,1.432125,1,1x3x224x224
depthwise_small,depthwise_cnn,10,1.409417,1,1x3x224x224
depthwise_small,depthwise_cnn,11,1.437125,1,1x3x224x224
depthwise_small,depthwise_cnn,12,1.442875,1,1x3x224x224
depthwise_small,depthwise_cnn,13,1.436166,1,1x3x224x224
depthwise_small,depthwise_cnn,14,1.427666,1,1x3x224x224
depthwise_small,depthwise_cnn,15,1.438083,1,1x3x224x224
depthwise_small,depthwise_cnn,16,1.401041,1,1x3x224x224
depthwise_small,depthwise_cnn,17,1.400917,1,1x3x224x224
depthwise_small,depthwise_cnn,18,1.401,1,1x3x224x224
depthwise_small,depthwise_cnn,19,1.391917,1,1x3x224x224
depthwise_small,depthwise_cnn,20,1.440916,1,1x3x224x224
depthwise_small,depthwise_cnn,21,1.422292,1,1x3x224x224
depthwise_small,depthwise_cnn,22,1.454208,1,1x3x224x224
depthwise_small,depthwise_cnn,23,1.402333,1,1x3x224x224
depthwise_small,depthwise_cnn,24,1.400625,1,1x3x224x224
depthwise_small,depthwise_cnn,25,1.592667,1,1x3x224x224
depthwise_small,depthwise_cnn,26,1.479208,1,1x3x224x224
depthwise_small,depthwise_cnn,27,1.411708,1,1x3x224x224
depthwise_small,depthwise_cnn,28,1.409,1,1x3x224x224
depthwise_small,depthwise_cnn,29,1.44725,1,1x3x224x224
depthwise_small,depthwise_cnn,30,1.42075,1,1x3x224x224
depthwise_medium,depthwise_cnn,1,2.008083,1,1x3x224x224
depthwise_medium,depthwise_cnn,2,1.868958,1,1x3x224x224
depthwise_medium,depthwise_cnn,3,1.807625,1,1x3x224x224
depthwise_medium,depthwise_cnn,4,1.963416,1,1x3x224x224
depthwise_medium,depthwise_cnn,5,2.028042,1,1x3x224x224
depthwise_medium,depthwise_cnn,6,1.980542,1,1x3x224x224
depthwise_medium,depthwise_cnn,7,1.804791,1,1x3x224x224
depthwise_medium,depthwise_cnn,8,1.8045,1,1x3x224x224
depthwise_medium,depthwise_cnn,9,1.938792,1,1x3x224x224
depthwise_medium,depthwise_cnn,10,2.068292,1,1x3x224x224
depthwise_medium,depthwise_cnn,11,1.982792,1,1x3x224x224
depthwise_medium,depthwise_cnn,12,1.997292,1,1x3x224x224
depthwise_medium,depthwise_cnn,13,1.9925,1,1x3x224x224
depthwise_medium,depthwise_cnn,14,2.052167,1,1x3x224x224
depthwise_medium,depthwise_cnn,15,2.093791,1,1x3x224x224
depthwise_medium,depthwise_cnn,16,2.092,1,1x3x224x224
depthwise_medium,depthwise_cnn,17,2.047291,1,1x3x224x224
depthwise_medium,depthwise_cnn,18,2.03975,1,1x3x224x224
depthwise_medium,depthwise_cnn,19,2.084583,1,1x3x224x224
depthwise_medium,depthwise_cnn,20,12.277334,1,1x3x224x224
depthwise_medium,depthwise_cnn,21,4.78,1,1x3x224x224
depthwise_medium,depthwise_cnn,22,4.37275,1,1x3x224x224
depthwise_medium,depthwise_cnn,23,2.180791,1,1x3x224x224
depthwise_medium,depthwise_cnn,24,5.344959,1,1x3x224x224
depthwise_medium,depthwise_cnn,25,2.167,1,1x3x224x224
depthwise_medium,depthwise_cnn,26,2.025125,1,1x3x224x224
depthwise_medium,depthwise_cnn,27,2.037875,1,1x3x224x224
depthwise_medium,depthwise_cnn,28,2.027875,1,1x3x224x224
depthwise_medium,depthwise_cnn,29,2.162,1,1x3x224x224
depthwise_medium,depthwise_cnn,30,2.132708,1,1x3x224x224
inverted_residual_small,inverted_residual,1,3.296375,1,1x3x224x224
inverted_residual_small,inverted_residual,2,3.391167,1,1x3x224x224
inverted_residual_small,inverted_residual,3,3.281125,1,1x3x224x224
inverted_residual_small,inverted_residual,4,3.286458,1,1x3x224x224
inverted_residual_small,inverted_residual,5,3.458,1,1x3x224x224
inverted_residual_small,inverted_residual,6,3.516542,1,1x3x224x224
inverted_residual_small,inverted_residual,7,3.421334,1,1x3x224x224
inverted_residual_small,inverted_residual,8,3.384,1,1x3x224x224
inverted_residual_small,inverted_residual,9,3.388083,1,1x3x224x224
inverted_residual_small,inverted_residual,10,3.331166,1,1x3x224x224
inverted_residual_small,inverted_residual,11,3.508208,1,1x3x224x224
inverted_residual_small,inverted_residual,12,3.370625,1,1x3x224x224
inverted_residual_small,inverted_residual,13,3.2745,1,1x3x224x224
inverted_residual_small,inverted_residual,14,3.459,1,1x3x224x224
inverted_residual_small,inverted_residual,15,3.351541,1,1x3x224x224
inverted_residual_small,inverted_residual,16,3.29075,1,1x3x224x224
inverted_residual_small,inverted_residual,17,3.433333,1,1x3x224x224
inverted_residual_small,inverted_residual,18,3.300584,1,1x3x224x224
inverted_residual_small,inverted_residual,19,3.275875,1,1x3x224x224
inverted_residual_small,inverted_residual,20,3.53525,1,1x3x224x224
inverted_residual_small,inverted_residual,21,3.508958,1,1x3x224x224
inverted_residual_small,inverted_residual,22,3.376666,1,1x3x224x224
inverted_residual_small,inverted_residual,23,3.550708,1,1x3x224x224
inverted_residual_small,inverted_residual,24,3.326875,1,1x3x224x224
inverted_residual_small,inverted_residual,25,3.348708,1,1x3x224x224
inverted_residual_small,inverted_residual,26,3.535917,1,1x3x224x224
inverted_residual_small,inverted_residual,27,3.389,1,1x3x224x224
inverted_residual_small,inverted_residual,28,3.341125,1,1x3x224x224
inverted_residual_small,inverted_residual,29,3.428959,1,1x3x224x224
inverted_residual_small,inverted_residual,30,3.309625,1,1x3x224x224
inverted_residual_wide,inverted_residual,1,6.70975,1,1x3x224x224
inverted_residual_wide,inverted_residual,2,6.712041,1,1x3x224x224
inverted_residual_wide,inverted_residual,3,6.716334,1,1x3x224x224
inverted_residual_wide,inverted_residual,4,6.674667,1,1x3x224x224
inverted_residual_wide,inverted_residual,5,6.446416,1,1x3x224x224
inverted_residual_wide,inverted_residual,6,6.713333,1,1x3x224x224
inverted_residual_wide,inverted_residual,7,6.814583,1,1x3x224x224
inverted_residual_wide,inverted_residual,8,6.655417,1,1x3x224x224
inverted_residual_wide,inverted_residual,9,6.772167,1,1x3x224x224
inverted_residual_wide,inverted_residual,10,6.97225,1,1x3x224x224
inverted_residual_wide,inverted_residual,11,6.670625,1,1x3x224x224
inverted_residual_wide,inverted_residual,12,6.546625,1,1x3x224x224
inverted_residual_wide,inverted_residual,13,6.638791,1,1x3x224x224
inverted_residual_wide,inverted_residual,14,6.848041,1,1x3x224x224
inverted_residual_wide,inverted_residual,15,6.847834,1,1x3x224x224
inverted_residual_wide,inverted_residual,16,6.712791,1,1x3x224x224
inverted_residual_wide,inverted_residual,17,6.6965,1,1x3x224x224
inverted_residual_wide,inverted_residual,18,6.705042,1,1x3x224x224
inverted_residual_wide,inverted_residual,19,6.662292,1,1x3x224x224
inverted_residual_wide,inverted_residual,20,6.469625,1,1x3x224x224
inverted_residual_wide,inverted_residual,21,6.766375,1,1x3x224x224
inverted_residual_wide,inverted_residual,22,6.759375,1,1x3x224x224
inverted_residual_wide,inverted_residual,23,6.605667,1,1x3x224x224
inverted_residual_wide,inverted_residual,24,6.793208,1,1x3x224x224
inverted_residual_wide,inverted_residual,25,6.783042,1,1x3x224x224
inverted_residual_wide,inverted_residual,26,6.586584,1,1x3x224x224
inverted_residual_wide,inverted_residual,27,6.685708,1,1x3x224x224
inverted_residual_wide,inverted_residual,28,6.736166,1,1x3x224x224
inverted_residual_wide,inverted_residual,29,6.77275,1,1x3x224x224
inverted_residual_wide,inverted_residual,30,6.814292,1,1x3x224x224
residual_cnn_small,residual_cnn,1,3.244166,1,1x3x224x224
residual_cnn_small,residual_cnn,2,3.241834,1,1x3x224x224
residual_cnn_small,residual_cnn,3,3.237375,1,1x3x224x224
residual_cnn_small,residual_cnn,4,3.245125,1,1x3x224x224
residual_cnn_small,residual_cnn,5,3.213541,1,1x3x224x224
residual_cnn_small,residual_cnn,6,3.222833,1,1x3x224x224
residual_cnn_small,residual_cnn,7,3.551125,1,1x3x224x224
residual_cnn_small,residual_cnn,8,3.347958,1,1x3x224x224
residual_cnn_small,residual_cnn,9,3.276209,1,1x3x224x224
residual_cnn_small,residual_cnn,10,3.245958,1,1x3x224x224
residual_cnn_small,residual_cnn,11,3.258583,1,1x3x224x224
residual_cnn_small,residual_cnn,12,3.243667,1,1x3x224x224
residual_cnn_small,residual_cnn,13,3.2225,1,1x3x224x224
